,name,player_id,age,season,team,MP,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,FG%,Avg_shot_dist,%_2point_attempts,%_FGA_0-3_dist,%_FGA_3-10_dist,%_FGA_10-16_dist,%_FGA_16-3pt_dist,%_3point_attempts,%FG_2point,%_FG_0-3_dist,%_FG_3-10_dist,%_FG_10-16_dist,%_FG_10-16_dist.1,3pt%,assisted_2pters,FG%_dunk_attempts,made_dunks,assisted_3pt%,%_corner_3pters,%_corner_3_made,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,predator_offense,predator_defense,predator_total,pace_impact
0,Bam Adebayo,adebaba01,22,2020,MIA,1865,0.473,8.8,24.2,16.8,22.5,1.8,3.4,17.2,19.9,4.1,3.0,7.1,0.183,.578,5.7,.980,.480,.307,.147,.046,.020,.588,.746,.462,.438,.250,.083,.711,.234,130,1.000,.667,.125,-0.7957306506671863,2.1696702450669343,1.373939594399748,3.506719662473972,0.8227341565058526,4.329453818979825,0.0147145046291472,1.9990877350698468,2.013802239698995,4.648077702638157,4.648077702638157,-0.1053243742505927,1.108234335182297,1.002909960931704,-0.7728757913240295
1,LaMarcus Aldridge,aldrila01,34,2020,SAS,1661,0.245,6.4,18.1,12.2,11.3,0.9,4.3,7.9,23.3,3.3,1.3,4.6,0.133,.495,13.7,.801,.203,.129,.226,.244,.199,.520,.712,.475,.460,.441,.392,.558,.042,29,.950,.183,.393,-0.4071401628954294,0.5262519510610283,0.1191117881655989,-0.7876733950164145,-2.2290775204359363,-3.016750915452351,-0.5533155182922662,0.0241591813334609,-0.5291563369588054,1.8949051835982549,1.8949051835982549,-0.5166045451347343,0.4854548885964406,-0.0311496565382937,-1.4222397768997141
2,Nickeil Alexander-Walker,alexani01,21,2020,NOP,501,0.123,1.7,15.3,8.4,20.5,1.0,1.2,14.3,22.9,-0.7,0.3,-0.4,-0.038,.339,16.3,.485,.229,.172,.057,.026,.515,.336,.462,.205,.231,.333,.342,.135,.004,1,.900,.188,.364,-3.0907727734009125,-1.7314346142295658,-4.8222073876304785,0.6357831351560063,-3.7604546282561153,-3.124671493100108,-2.51512288386203,-2.224647445717531,-4.739770329579561,-0.5110530301579961,-0.5110530301579961,-0.9099614543532912,-2.290986469340872,-3.200947923694163,0.4909420452581587
3,Grayson Allen,allengr01,24,2020,MEM,498,0.199,1.1,12.7,7.0,11.7,0.6,0.2,10.7,18.0,0.5,0.2,0.7,0.065,.449,15.7,.483,.188,.199,.091,.006,.517,.541,.758,.400,.438,.000,.363,.587,.063,10,.970,.275,.480,-0.1563119851753222,-1.5712618267122378,-1.72757381188756,-1.034275996938158,-3.0172050630998655,-4.0514810600380216,-0.32929521611231605,-1.9548036796288317,-2.284098895741149,0.1189173495956561,0.1189173495956561,-0.632823782694542,-2.583427724328287,-3.2162515070228284,0.4665959883020226
5,Kyle Anderson,anderky01,26,2020,MEM,868,0.254,5.6,18.4,12.1,15.4,1.9,2.4,14.8,13.4,0.7,1.0,1.7,0.096,.504,10.7,.799,.317,.237,.129,.116,.201,.575,.648,.604,.448,.462,.222,.534,.040,9,1.000,.644,.172,-0.6649417495072432,1.7720775049819197,1.107135755474677,-6.23817132952987,2.35292811188611,-3.8852432176437612,-1.841386342449626,2.0153702639203317,0.173983921470706,1.363175121525003,1.363175121525003,-2.5128892398652654,1.281543481587536,-1.231345758277729,0.0858842417414289
6,Giannis Antetokounmpo,antetgi01,25,2020,MIL,1482,0.519,8.4,32.9,21.4,34.0,1.6,3.0,13.0,37.7,5.0,3.9,8.9,0.289,.552,9.7,.760,.488,.160,.067,.046,.240,.629,.767,.338,.433,.457,.311,.438,.165,152,.573,.029,.286,6.170028691398192,2.741364305843646,8.91139299724184,1.7570045096266191,5.825603132535868,7.582607642162486,5.500747327950242,3.466143126901028,8.966890454851269,9.406192120907972,9.406192120907972,5.265340480038464,2.7926028252305133,8.057943305268978,2.015292156034929
7,Carmelo Anthony,anthoca01,35,2020,POR,1299,0.187,4.2,16.6,10.5,6.7,1.2,1.2,10.4,21.9,-0.3,0.8,0.5,0.018000000000000002,.419,14.5,.708,.200,.097,.228,.183,.292,.444,.525,.456,.410,.389,.360,.427,.031,12,.919,.180,.516,-2.8901364948085235,-3.671838914612288,-6.561975409420812,1.9258613347522109,-3.0504750424079483,-1.1246137076557372,-2.094426272552635,-3.7312405889280136,-5.825666861480648,-2.065229287376977,-2.065229287376977,-1.3499728337882229,-3.2697369555268465,-4.6197097893150705,-1.142193705439866
8,OG Anunoby,anunoog01,22,2020,TOR,1574,0.147,4.1,15.1,9.7,7.5,1.9,2.2,12.1,14.6,1.3,2.6,3.8,0.117,.499,11.7,.593,.453,.109,.020,.011,.407,.592,.683,.300,.333,.200,.364,.665,.153,67,.941,.497,.355,-2.055292773631241,1.7898896433390812,-0.2654031302921609,1.6527266521538702,-1.160509299671867,0.492217352482003,-1.426298253958204,1.2363017528456728,-0.1899965011125311,2.1072564166346432,2.1072564166346432,-1.315346917331748,1.538164557046833,0.2228176397150849,0.0239654287270805
9,Ryan Arcidiacono,arcidry01,25,2020,CHI,765,0.156,2.2,10.7,6.3,14.5,1.3,0.4,13.5,12.4,0.6,0.6,1.2,0.073,.396,18.8,.356,.149,.099,.089,.020,.644,.417,.567,.250,.333,.500,.385,.533,.000,0,.880,.300,.462,-0.7671718315410011,1.738517346828589,0.9713455152875882,-3.569935327257129,2.7663168665746154,-0.8036184606825145,-1.3437384911099142,2.064917197815805,0.7211787067058906,1.4676645364869658,1.4676645364869658,-2.147252997957318,1.1823320473007959,-0.9649209506565224,0.2125544405653809
10,Trevor Ariza,arizatr01,34,2020,POR,1138,0.171,2.7,16.6,9.5,8.1,2.3,0.9,12.3,11.4,0.9,1.1,2.0,0.083,.388,19.4,.261,.188,.042,.012,.018,.739,.488,.677,.000,.000,.000,.352,.571,.036,6,.977,.369,.333,-0.6064073675213902,2.606224985987486,1.999817618466095,4.033675813845399,-2.632683893256725,1.400991920588674,0.3149690212936966,1.7067024955341217,2.021671516827819,0.932751563492072,0.932751563492072,0.078912898401988,1.7960547360982582,1.8749676345002457,0.30387796278142104
