,Rank,Name,Age,games,min_played,FG%,Avg_shot_dist,%_2point_attempts,%_FGA_0-3_dist,%_FGA_3-10_dist,%_FGA_10-16_dist,%_FGA_16-3pt_dist,%_3point_attempts,%FG_2point,%_FG_0-3_dist,%_FG_3-10_dist,%_FG_10-16_dist,%_FG_10-16_dist,3pt%,assisted_2pters,FG%_dunk_attempts,made_dunks,assisted_3pt%,%_corner_3pters,%_corner_3_made,3-Pt Field Goals.3,3-Pt Field Goals.4
0,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
1,Rk,,Age,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P%,0-3,3-10,10-16,16-3pt,3P%,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2,1,Fred VanVleet\vanvlfr01,25,47,1682,.410,15.3,.521,.316,.105,.039,.061,.479,.430,.548,.194,.296,.310,.389,.175,.000,0,.711,.158,.442,1,0
3,2,OG Anunoby\anunoog01,22,56,1640,.499,11.7,.593,.453,.109,.020,.011,.407,.592,.683,.300,.333,.200,.364,.665,.153,67,.941,.497,.355,0,0
4,3,Kyle Lowry\lowryky01,33,45,1635,.420,18.1,.431,.211,.098,.049,.074,.569,.504,.649,.323,.452,.362,.357,.239,.000,0,.543,.086,.323,4,0
5,4,Pascal Siakam\siakapa01,25,46,1607,.464,12.2,.690,.298,.229,.073,.089,.310,.508,.708,.375,.344,.321,.367,.422,.041,34,.657,.233,.381,0,0
6,5,Serge Ibaka\ibakase01,30,46,1246,.528,12.1,.751,.253,.261,.114,.123,.249,.568,.750,.510,.477,.400,.408,.798,.095,49,1.000,.113,.250,0,0
7,6,Norman Powell\powelno01,26,38,1072,.498,13.9,.545,.358,.123,.024,.040,.455,.578,.669,.385,.400,.471,.401,.662,.062,23,.948,.313,.433,2,0
8,7,Terence Davis\daviste02,22,57,1003,.478,15.9,.436,.307,.084,.034,.011,.564,.551,.682,.300,.167,.000,.421,.419,.056,13,.918,.238,.521,1,0
9,8,Marc Gasol\gasolma01,35,35,974,.424,17.3,.463,.139,.173,.104,.048,.537,.449,.625,.525,.250,.091,.403,.646,.035,7,1.000,.097,.500,0,0
10,9,Rondae Hollis-Jefferson\holliro01,25,45,885,.481,4.6,.936,.688,.165,.060,.023,.064,.506,.590,.182,.563,.167,.118,.659,.098,23,1.000,.529,.000,1,0
11,10,Patrick McCaw\mccawpa01,24,31,747,.438,13.5,.577,.321,.139,.066,.051,.423,.494,.545,.368,.444,.571,.362,.615,.007,1,1.000,.448,.423,0,0
12,11,Chris Boucher\bouchch01,27,49,638,.461,11.3,.635,.483,.113,.013,.026,.365,.568,.622,.462,.000,.333,.274,.687,.170,37,1.000,.143,.083,0,0
13,12,Matt Thomas\thomama02,25,26,267,.511,21.3,.307,.045,.045,.125,.091,.693,.519,.500,.500,.455,.625,.508,.714,.000,0,1.000,.279,.647,0,0
14,13,Oshae Brissett\brissos01,21,19,135,.361,11.7,.583,.389,.167,.028,.000,.417,.476,.714,.000,.000,,.200,.600,.194,6,1.000,.533,.250,0,0
15,14,Malcolm Miller\millema01,26,24,124,.348,20.1,.217,.087,.130,.000,.000,.783,.400,.500,.333,,,.333,1.000,.000,0,1.000,.278,.600,0,0
16,15,Stanley Johnson\johnsst04,23,19,95,.267,14.2,.567,.333,.100,.067,.067,.433,.353,.500,.000,.000,.500,.154,.000,.000,0,1.000,.462,.000,0,0
17,16,Shamorie Ponds\pondssh01,21,4,11,.600,11.4,.600,.600,.000,.000,.000,.400,.667,.667,,,,.500,.500,.000,0,1.000,.000,,0,0
18,17,Dewan Hernandez\hernade01,23,4,11,.200,7.2,.800,.400,.400,.000,.000,.200,.250,.000,.500,,,.000,.000,.000,0,,.000,,0,0
19,18,Paul Watson\watsopa01,25,3,8,.000,28.0,.000,.000,.000,.000,.000,1.000,,,,,,.000,,.000,0,,.000,,0,0
20,1,Jayson Tatum\tatumja01,21,52,1779,.445,14.1,.624,.256,.156,.126,.086,.376,.481,.612,.376,.413,.378,.386,.453,.053,47,.590,.189,.368,2,0
21,2,Jaylen Brown\brownja02,23,46,1552,.496,13.2,.638,.282,.202,.092,.062,.362,.562,.711,.426,.531,.372,.379,.476,.050,30,.927,.292,.459,1,0
22,3,Kemba Walker\walkeke02,29,46,1481,.429,17.2,.480,.203,.122,.082,.074,.520,.474,.618,.287,.444,.421,.388,.261,.000,0,.494,.040,.313,4,0
23,4,Marcus Smart\smartma01,25,45,1429,.381,18.7,.414,.099,.160,.103,.051,.586,.422,.551,.342,.490,.280,.353,.349,.008,4,.725,.149,.326,3,0
